subject,grade,year,stat,group,value,displayable
MAT,8,2011,RP:RP,1-2 days,35.135720492977,1
MAT,8,2011,RP:RP,3-4 days,12.9599618349938,1
MAT,8,2011,RP:RP,5-10 days,4.60635557271417,1
MAT,8,2011,RP:RP,More than 10 days,1.83981542963195,1
MAT,8,2013,RP:RP,None,44.1554879905633,1
MAT,8,2013,RP:RP,1-2 days,36.2943917768359,1
MAT,8,2013,RP:RP,3-4 days,13.0971446757614,1
MAT,8,2013,RP:RP,5-10 days,4.80670698695288,1
MAT,8,2013,RP:RP,More than 10 days,1.64626856988654,1
MAT,8,2015,RP:RP,None,44.775900925066,1
MAT,8,2015,RP:RP,1-2 days,36.2917298189765,1
MAT,8,2015,RP:RP,3-4 days,12.5712586031936,1
MAT,8,2015,RP:RP,5-10 days,4.72052638740383,1
MAT,8,2015,RP:RP,More than 10 days,1.64058426536005,1
MAT,8,2017,MN:MN,None,289.285635366283,1
MAT,8,2017,MN:MN,1-2 days,284.001597780871,1
MAT,8,2017,MN:MN,3-4 days,273.541503461361,1
MAT,8,2017,MN:MN,5-10 days,267.590418883449,1
MAT,8,2017,MN:MN,More than 10 days,250.33197669354,1
MAT,8,2019,MN:MN,None,289.627849254412,1
MAT,8,2019,MN:MN,1-2 days,282.575492650111,1
MAT,8,2019,MN:MN,3-4 days,270.564323453907,1
MAT,8,2019,MN:MN,5-10 days,265.405530845685,1
MAT,8,2019,MN:MN,More than 10 days,245.706996207819,1
MAT,8,2022,MN:MN,None,283.133601764103,1
MAT,8,2022,MN:MN,1-2 days,276.239716702674,1
MAT,8,2022,MN:MN,3-4 days,265.805460536494,1
MAT,8,2022,MN:MN,5-10 days,264.206077440922,1
MAT,8,2022,MN:MN,More than 10 days,252.304184242374,1
MAT,8,2024,MN:MN,None,283.756751666839,1
MAT,8,2024,MN:MN,1-2 days,276.507811152597,1
MAT,8,2024,MN:MN,3-4 days,264.325018783086,1
MAT,8,2024,MN:MN,5-10 days,258.937428257604,1
MAT,8,2024,MN:MN,More than 10 days,241.475167485138,1
MAT,8,2017,RP:RP,None,40.3652142096279,1
MAT,8,2017,RP:RP,1-2 days,38.1122461929441,1
MAT,8,2017,RP:RP,3-4 days,14.2469337019671,1
MAT,8,2017,RP:RP,5-10 days,5.57841014264523,1
MAT,8,2017,RP:RP,More than 10 days,1.69719575281573,1
MAT,8,2019,RP:RP,None,41.0756268382313,1
MAT,8,2019,RP:RP,1-2 days,37.2989088491026,1
MAT,8,2019,RP:RP,3-4 days,14.1752291911347,1
MAT,8,2019,RP:RP,5-10 days,5.48382344220929,1
MAT,8,2019,RP:RP,More than 10 days,1.9664116793221,1
MAT,8,2022,RP:RP,None,34.3044617228644,1
MAT,8,2022,RP:RP,1-2 days,33.2417068576317,1
MAT,8,2022,RP:RP,3-4 days,16.2434871340389,1
MAT,8,2022,RP:RP,5-10 days,11.0122617934372,1
MAT,8,2022,RP:RP,More than 10 days,5.1980824920278,1
MAT,8,2024,RP:RP,None,33.3348037096756,1
MAT,8,2024,RP:RP,1-2 days,37.1726483571244,1
MAT,8,2024,RP:RP,3-4 days,17.9014031988844,1
MAT,8,2024,RP:RP,5-10 days,8.29202576574114,1
MAT,8,2024,RP:RP,More than 10 days,3.29911896857445,1
RED,4,2002,MN:MN,None,221.852389655422,1
RED,4,2002,MN:MN,1-2 days,218.503322113826,1
RED,4,2002,MN:MN,3-4 days,213.745514077673,1
RED,4,2002,MN:MN,5-10 days,212.726771196843,1
RED,4,2002,MN:MN,More than 10 days,189.824448787399,1
RED,4,2003,MN:MN,None,221.499346214171,1
RED,4,2003,MN:MN,1-2 days,217.832871239268,1
RED,4,2003,MN:MN,3-4 days,214.578833911247,1
RED,4,2003,MN:MN,5-10 days,215.762546652382,1
RED,4,2003,MN:MN,More than 10 days,194.58375836178,1
RED,4,2005,MN:MN,None,221.847623345755,1
RED,4,2005,MN:MN,1-2 days,219.218185301174,1
RED,4,2005,MN:MN,3-4 days,214.650144778382,1
RED,4,2005,MN:MN,5-10 days,214.443979729907,1
RED,4,2005,MN:MN,More than 10 days,193.763414425725,1
RED,4,2007,MN:MN,None,224.370809461871,1
RED,4,2007,MN:MN,1-2 days,221.293180405367,1
RED,4,2007,MN:MN,3-4 days,215.73940692377,1
RED,4,2007,MN:MN,5-10 days,214.017767303565,1
RED,4,2007,MN:MN,More than 10 days,195.031688647626,1
RED,4,2002,RP:RP,None,52.3476466066004,1
RED,4,2002,RP:RP,1-2 days,29.8719976558132,1
RED,4,2002,RP:RP,3-4 days,11.2923154190928,1
RED,4,2002,RP:RP,5-10 days,4.1800547250137,1
RED,4,2002,RP:RP,More than 10 days,2.30798559347982,1
RED,4,2003,RP:RP,None,48.6466960206249,1
RED,4,2003,RP:RP,1-2 days,29.6440297286616,1
RED,4,2003,RP:RP,3-4 days,13.2845014753306,1
RED,4,2003,RP:RP,5-10 days,5.75804783426508,1
RED,4,2003,RP:RP,More than 10 days,2.66672494111778,1
RED,4,2005,RP:RP,None,51.8239231193059,1
RED,4,2005,RP:RP,1-2 days,29.0158835107086,1
RED,4,2005,RP:RP,3-4 days,11.7966875813601,1
RED,4,2005,RP:RP,5-10 days,4.86224874392637,1
RED,4,2005,RP:RP,More than 10 days,2.50125704469899,1
RED,4,2007,RP:RP,None,50.7438185230094,1
RED,4,2007,RP:RP,1-2 days,29.7499779709127,1
RED,4,2007,RP:RP,3-4 days,12.1642715507442,1
RED,4,2007,RP:RP,5-10 days,4.84303686187407,1
RED,4,2007,RP:RP,More than 10 days,2.49889509345966,1
RED,4,2009,MN:MN,None,223.786962884377,1
RED,4,2009,MN:MN,1-2 days,221.306003893552,1
RED,4,2009,MN:MN,3-4 days,216.375421676126,1
RED,4,2009,MN:MN,5-10 days,214.005610701796,1
RED,4,2009,MN:MN,More than 10 days,192.987932133313,1
RED,4,2011,MN:MN,None,224.800764656767,1
RED,4,2011,MN:MN,1-2 days,221.140896774074,1
RED,4,2011,MN:MN,3-4 days,216.454753276268,1
RED,4,2011,MN:MN,5-10 days,214.686391437922,1
RED,4,2011,MN:MN,More than 10 days,192.659255350028,1
RED,4,2013,MN:MN,None,225.462359382365,1
RED,4,2013,MN:MN,1-2 days,221.66110460177,1
RED,4,2013,MN:MN,3-4 days,217.030756709693,1
RED,4,2013,MN:MN,5-10 days,215.600474723665,1
RED,4,2013,MN:MN,More than 10 days,193.132859123469,1
RED,4,2015,MN:MN,None,226.971749527149,1
RED,4,2015,MN:MN,1-2 days,222.331284968196,1
RED,4,2015,MN:MN,3-4 days,215.119734294724,1
RED,4,2015,MN:MN,5-10 days,213.922800590347,1
RED,4,2015,MN:MN,More than 10 days,192.494814138669,1
RED,4,2009,RP:RP,None,52.4834707845336,1
RED,4,2009,RP:RP,1-2 days,29.4770085303507,1
RED,4,2009,RP:RP,3-4 days,11.2718835583494,1
RED,4,2009,RP:RP,5-10 days,4.51123715062775,1
RED,4,2009,RP:RP,More than 10 days,2.25639997613856,1
RED,4,2011,RP:RP,None,50.6207722239316,1
