wave,county_fips,county_pop,share_mobile_any,share_anywless_t6,share_anywless_t7,share_anywless_t8,source,share_mobile_t6,share_mobile_t7,share_mobile_t7_vzw,mobile_t7_any,mobile_any_any
2011-06,02090,98234.0,0.9973,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02100,2557.0,0.5512,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02105,2162.0,0.562,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02110,31341.0,0.9656,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02122,55871.0,0.9714,0.1605,0.1605,0.0,analyze_table,,,,,
2011-06,02130,13606.0,0.9643,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02150,13617.0,0.4891,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02164,1642.0,0.0,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02170,92655.0,0.9689,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02180,9520.0,0.0,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02185,9228.0,0.2125,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02188,7590.0,0.0,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02195,3838.0,0.7933,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02198,5586.0,0.4968,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02220,8857.0,0.9861,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02230,968.0,0.9416,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02240,7353.0,0.7122,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02261,9564.0,0.8152,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02270,7608.0,0.0,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02275,2366.0,0.7741,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02282,659.0,0.0,0.0,0.0,0.0,analyze_table,,,,,
2011-06,02290,5518.0,0.1215,0.0,0.0,0.0,analyze_table,,,,,
2011-06,04001,72483.0,0.4643,0.0,0.0,0.0,analyze_table,,,,,
2011-06,04003,133288.0,0.9916,0.476,0.476,0.0,analyze_table,,,,,
2011-06,04005,135875.0,0.9659,0.631,0.6128,0.0,analyze_table,,,,,
2011-06,04007,54131.0,0.9507,0.02,0.0,0.0,analyze_table,,,,,
2011-06,04009,38945.0,0.9859,0.0,0.0,0.0,analyze_table,,,,,
2011-06,04011,8844.0,0.9738,0.0,0.0,0.0,analyze_table,,,,,
2011-06,04012,20842.0,0.9905,0.0,0.0,0.0,analyze_table,,,,,
2011-06,04013,3920821.0,0.9999,0.9907,0.9868,0.0,analyze_table,,,,,
2011-06,04015,203344.0,0.9681,0.0,0.0,0.0,analyze_table,,,,,
2011-06,04017,109323.0,0.6369,0.0,0.0,0.0,analyze_table,,,,,
2011-06,04019,1002358.0,0.9979,0.8419,0.8419,0.0,analyze_table,,,,,
2011-06,04021,401803.0,0.9976,0.354,0.2015,0.0,analyze_table,,,,,
2011-06,04023,48884.0,0.9767,0.731,0.731,0.0,analyze_table,,,,,
2011-06,04025,216669.0,0.9939,0.2173,0.0002,0.0,analyze_table,,,,,
2011-06,04027,203080.0,0.9993,0.0155,0.0,0.0,analyze_table,,,,,
2011-06,05001,18899.0,0.9908,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05003,21661.0,0.9891,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05005,42192.0,0.961,0.0029,0.0,0.0,analyze_table,,,,,
2011-06,05007,229769.0,0.9985,0.6202,0.6202,0.0,analyze_table,,,,,
2011-06,05009,37425.0,0.9511,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05011,11475.0,0.9353,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05013,5343.0,0.9709,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05015,27753.0,0.9391,0.003,0.003,0.0,analyze_table,,,,,
2011-06,05017,11583.0,1.0,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05019,23141.0,0.9478,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05021,15884.0,0.9891,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05023,26079.0,0.9572,0.6292,0.0,0.0,analyze_table,,,,,
2011-06,05025,8620.0,0.9258,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05027,24314.0,0.9692,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05029,21394.0,0.9576,0.6415,0.0,0.0,analyze_table,,,,,
2011-06,05031,98303.0,1.0,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05033,62827.0,0.9718,0.0007,0.0007,0.0,analyze_table,,,,,
2011-06,05035,51154.0,0.9953,0.2804,0.0016,0.0,analyze_table,,,,,
2011-06,05037,17781.0,0.9436,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05039,8006.0,0.7987,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05041,12808.0,0.9889,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05043,18480.0,0.9783,0.0,0.0,0.0,analyze_table,,,,,
